YEAR,COUNTRY,LOCATION,FATALITY_TOTAL
79,ITALY,BAY OF NAPLES,4.0
262,TURKEY,SOUTH COASTS OF ASIA MINOR,3.0
358,TURKEY,MARMARA SEA,3.0
365,GREECE,CRETE,4.0
416,INDONESIA,JAVA-S. JAVA,3.0
447,TURKEY,MARMARA SEA,3.0
543,TURKEY,BLACK SEA,3.0
551,GREECE,ETOLIA,4.0
551,GREECE,,4.0
684,JAPAN,NANKAIDO,3.0
740,TURKEY,MARMARA SEA,3.0
744,JAPAN,SW. KYUSHU ISLAND,4.0
745,JAPAN,"OSAKA BAY, JAPAN",3.0
766,JAPAN,N. KAGOSHIMA BAY,3.0
818,JAPAN,TOKAIDO,3.0
850,JAPAN,NW. HONSHU ISLAND,3.0
863,JAPAN,NW. HONSHU ISLAND,3.0
869,JAPAN,SANRIKU,4.0
887,JAPAN,NIIGATA,4.0
887,JAPAN,NANKAIDO,3.0
900,INDIA,NAGAPATTINAM,3.0
963,ITALY,SICILY,4.0
1008,IRAN,PERSIAN GULF,4.0
1026,JAPAN,"OFF MASUDA, SHIMANE PREFECTURE",4.0
1033,SYRIA,AKKO,4.0
1039,TURKEY,CONSTANTINOPLE,3.0
1068,ISRAEL,GULF OF AQABA,3.0
1076,CHINA,"GUANGDONG PROVINCE, SOUTH CHINA SEA",1.0
1169,ITALY,EASTERN SICILY,4.0
1172,ITALY,ISLAND OF SICILY,3.0
1202,SYRIA,SOUTHWESTERN SYRIA,4.0
1293,JAPAN,"KAMAKURA, SAGAMI BAY",4.0
1303,GREECE,AEGEAN SEA,4.0
1341,JAPAN,"JUSANKO, TSUGARU AOMORI PREFECTURE",4.0
1344,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",3.0
1360,JAPAN,KUMANONADA,3.0
1361,JAPAN,NANKAIDO,3.0
1365,ALGERIA,ALGIERS,3.0
1408,TURKEY,ANTIOCH,3.0
1433,JAPAN,OFF IZU-OSHIMA,3.0
1456,ITALY,BAY OF NAPLES,4.0
1481,GREECE,ISLAND OF RHODES,3.0
1495,JAPAN,"KAMAKURA, SAGAMI BAY, TOKAIDO",3.0
1498,VENEZUELA,BOCA DE LA SIERPE,3.0
1498,JAPAN,ENSHUNADA SEA,4.0
1500,USA,HAWAII,3.0
1509,TURKEY,MARMARA SEA,4.0
1511,ITALY,NORTH ADRIATIC,1.0
1512,JAPAN,TOKUSHIMA PREFECTURE,4.0
1531,PORTUGAL,"TAGUS RIVER, LISBON",4.0
1546,ISRAEL,GAZA - JAFFA,3.0
1562,CHILE,SOUTHERN CHILE,3.0
1564,FRANCE,LIGURIA-COTE D'AZUR,3.0
1570,CHILE,CENTRAL CHILE,4.0
1575,CHILE,SOUTHERN CHILE,4.0
1582,PERU,S. PERU,3.0
1586,JAPAN,ISE BAY,4.0
1586,PERU,CENTRAL PERU,1.0
1589,JAPAN,"SURUGA, JAPAN",3.0
1590,PERU,S. PERU,1.0
1596,JAPAN,"BEPPU BAY, KYUSHU",3.0
1597,JAPAN,"BEPPU BAY, JAPAN",1.0
1601,SWITZERLAND,,1.0
1602,JAPAN,"BOSO, JAPAN",3.0
1604,PERU,S. PERU,3.0
1605,JAPAN,ENSHUNADA,4.0
1605,JAPAN,NANKAIDO,4.0
1607,UK,"BRISTOL CHANNEL, ENGLAND",4.0
1608,INDONESIA,"GAMALAMA, TERNATE ISLAND",1.0
1611,JAPAN,SANRIKU,4.0
1613,ITALY,MESSINA,3.0
1614,JAPAN,NIIGATA PREFECTURE,3.0
1616,JAPAN,MIYAGI PREFECTURE,3.0
1616,JAPAN,SANRIKU,3.0
1627,ITALY,GARGANO PENINSULA,4.0
1629,GREECE,CRETE,3.0
1631,ITALY,BAY OF NAPLES,4.0
1633,JAPAN,SAGAMI BAY,3.0
1633,CHILE,SOUTHERN CHILE,1.0
1633,GREECE,ISLAND OF ZAKYNTHOS,3.0
1636,GREECE,IONIAN SEA,3.0
1638,ITALY,TYRRHENIAN CALABRIA,4.0
1640,JAPAN,SE. HOKKAIDO ISLAND,3.0
1644,JAPAN,"HONJO, AKITA",3.0
1645,PHILIPPINES,W. LUZON ISLAND,3.0
1647,PERU,S. PERU,1.0
1650,GREECE,THERA ISLAND (SANTORINI),3.0
1650,JAPAN,ECHIZEN (FUKUI),1.0
1657,CHILE,CENTRAL CHILE,1.0
1657,JAPAN,CHOSHI,2.0
1660,PAPUA NEW GUINEA,LONG ISLAND,4.0
1661,TAIWAN,SOUTH CHINA SEA,3.0
1662,JAPAN,HIUGANADA,3.0
1664,JAPAN,"TORISHIMA, RYUKYU ISLANDS",1.0
1666,JAPAN,AICHI PREFECTURE,2.0
1667,CROATIA,DALMATIAN COASTS,4.0
1668,CHINA,"TANCHENG, SHANDONG PROVINCE",4.0
1668,NORTH KOREA,YELLOW SEA,1.0
1670,CHINA,EAST CHINA SEA,3.0
1672,ITALY,CENTRAL ADRIATIC,4.0
1673,INDONESIA,N. MOLUCCAS ISLANDS,3.0
1674,INDONESIA,BANDA SEA,4.0
1676,JAPAN,HITACHI,1.0
1677,JAPAN,SANRIKU,1.0
1677,JAPAN,OFF SE. BOSO PENINSULA,3.0
1677,PHILIPPINES,W. LUZON ISLAND,1.0
1678,PERU,CENTRAL PERU,3.0
1680,JAPAN,TOTOMI-NADA,3.0
1687,CHILE,CENTRAL CHILE,1.0
1687,PERU,S. PERU,4.0
1688,TURKEY,IZMIR,4.0
1692,JAMAICA,PORT ROYAL,4.0
1693,ITALY,EASTERN SICILY,4.0
1693,ITALY,ISLAND OF SICILY,4.0
1696,JAPAN,"FUKUSHIMA, JAPAN",4.0
1696,JAPAN,ISHINOMAKI,1.0
1700,USA,CASCADIA SUBDUCTION ZONE,1.0
1700,JAPAN,NAGASAKI PREFECTURE,4.0
1700,JAPAN,"TSUSHIMA, NAGASAKI PREFECTURE",3.0
1703,ITALY,LATIUM,4.0
1703,JAPAN,OFF SW BOSO PENINSULA,4.0
1707,JAPAN,ENSHUNADA,4.0
1707,JAPAN,NANKAIDO,4.0
1711,INDONESIA,BANDA SEA,1.0
1711,JAPAN,"SEIONAIKAI, JAPAN",3.0
1715,PERU,PERU,1.0
1716,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1721,TAIWAN,TAINAN,4.0
1722,PORTUGAL,"TAVIRA, ALGARVE",3.0
1723,GREECE,IONIAN SEA,1.0
1726,JAPAN,KATSUYAMA,3.0
1726,ITALY,NORTHERN SICILY,3.0
1730,CHILE,CENTRAL CHILE,1.0
1731,ITALY,TYRRHENIAN SEA,4.0
1735,PHILIPPINES,E. LUZON ISLAND,3.0
1737,RUSSIA,KAMCHATKA,1.0
1737,CHILE,SOUTHERN CHILE,2.0
1741,JAPAN,W. HOKKAIDO ISLAND,4.0
1746,PERU,CENTRAL PERU,4.0
1748,GREECE,CORINTHOS-PATRAS GULF,3.0
1749,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1750,CROATIA,RIJEKA,3.0
1751,JAPAN,NW. HONSHU ISLAND,4.0
1751,CHILE,CENTRAL CHILE,2.0
1752,SYRIA,LATAKIA,4.0
1754,INDONESIA,BANDA SEA,1.0
1754,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1755,PORTUGAL,LISBON,4.0
1757,PORTUGAL,AZORES,4.0
1762,BANGLADESH,NORTHERN BAY OF BENGAL,3.0
1762,JAPAN,NW. HONSHU ISLAND,2.0
1763,JAPAN,"SANRIKU, HACHIONHE",3.0
1763,INDONESIA,BANDA SEA,1.0
1765,CHINA,SOUTH CHINA SEA,4.0
1766,JAPAN,SANRIKU,4.0
1771,JAPAN,RYUKYU ISLANDS,4.0
1771,INDONESIA,N. MOLUCCAS ISLANDS,1.0
1773,GUATEMALA,GUATEMALA-NICARAGUA,4.0
1774,CANADA,NEWFOUNDLAND,3.0
1775,JAPAN,"AWA, BOSO, JAPAN",3.0
1780,RUSSIA,S. KURIL ISLANDS,1.0
1781,JAPAN,SW. KYUSHU ISLAND,1.0
1781,TAIWAN,KAOHSIUNG,1.0
1782,TAIWAN,TAIWAN STRAIT,4.0
1782,JAPAN,"ODAWARA, SAGAMI BAY",3.0
1783,ITALY,TYRRHENIAN CALABRIA,4.0
1783,ITALY,MESSINA STRAITS,4.0
1783,ITALY,MESSINA STRAITS,1.0
1783,ITALY,TYRRHENIAN CALABRIA,3.0
1784,MEXICO,S. MEXICO,1.0
1784,PERU,S. PERU,3.0
1787,MEXICO,SAN MARCOS,1.0
1788,USA,"ALASKA PENINSULA, AK",3.0
1788,USA,"SHUMAGIN ISLANDS, AK",3.0
1790,ALGERIA,ORAN,4.0
1791,JAPAN,OASAKA BAY,2.0
1791,GREECE,IONIAN SEA,1.0
1792,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",4.0
1792,JAPAN,W. HOKKAIDO ISLAND,2.0
1792,TAIWAN,TAINAN,3.0
1793,JAPAN,W. OFF AOMORI,1.0
1793,JAPAN,SANRIKU,3.0
1797,INDONESIA,SW. SUMATRA,3.0
1799,JAPAN,SW. HONSHU ISLAND,3.0
1802,ALGERIA,HARBOUR OF ALGIERS,3.0
1802,JAPAN,NW. HONSHU ISLAND,1.0
1804,JAPAN,NW. HONSHU ISLAND,3.0
1808,ITALY,ITALIAN COAST,1.0
1810,JAPAN,NW. HONSHU ISLAND,2.0
1811,USA,AR: NE -  NEW MADRID EARTHQUAKES,1.0
1812,VENEZUELA,LA GUAIRA,4.0
1812,JAMAICA,KINGSTON,2.0
1812,USA,S. CALIFORNIA,1.0
1815,INDONESIA,TAMBORA,4.0
1815,INDONESIA,BALI SEA,3.0
1818,ITALY,EASTERN SICILY,2.0
1819,CHILE,NORTHERN CHILE,1.0
1819,INDIA,KUTCH,4.0
1820,GREECE,ISLAND OF ZAKYNTHOS,1.0
1820,INDONESIA,FLORES SEA,3.0
1820,CONGO,GOLD COAST,3.0
1821,UK TERRITORY,ST HELENA,1.0
1822,TURKEY,ANTIOCHIA,4.0
1822,CHILE,CENTRAL CHILE,3.0
1824,PHILIPPINES,W. LUZON ISLAND,3.0
1825,GREECE,IONIAN SEA,2.0
1828,JAPAN,NW. HONSHU ISLAND,4.0
1830,PHILIPPINES,W. LUZON ISLAND,3.0
1832,ITALY,CUTRO,3.0
1833,CHINA,YUNNAN PROVINCE,4.0
1833,INDONESIA,SW. SUMATRA,1.0
1833,JAPAN,NW. HONSHU ISLAND,2.0
1835,CHILE,CENTRAL CHILE,2.0
1835,JAPAN,SANRIKU,3.0
1836,ITALY,ROSSANO,3.0
1837,CHILE,SOUTHERN CHILE,1.0
1840,PHILIPPINES,PHILIPPINE SEA,2.0
1842,HAITI,CAP-HAITIAN,4.0
1843,INDONESIA,SW. SUMATRA,3.0
1843,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,4.0
1843,JAPAN,SE. HOKKAIDO ISLAND,1.0
1845,INDONESIA,CELEBES SEA,3.0
1845,INDIA,RANN OF KUTCH,1.0
1845,USA,"SE. ALASKA, AK",2.0
1846,ITALY,LIVORNO,2.0
1847,JAPAN,SANRIKU,3.0
1848,NEW ZEALAND,WELLINGTON,1.0
1849,USA TERRITORY,"GUAM, MARIANA ISLANDS",3.0
1849,CHILE,CENTRAL CHILE,1.0
1851,CHILE,CENTRAL CHILE,1.0
1851,ALBANIA,ALBANIAN COASTS,4.0
1852,PHILIPPINES,W. LUZON ISLAND,1.0
1852,INDONESIA,BANDA SEA,2.0
1852,MEXICO,S. MEXICO,1.0
1852,INDONESIA,BANDANEIRA,1.0
1853,VENEZUELA,CUMANA,3.0
1853,GREECE,CENTRAL GREECE (EVOIKOS GULF),1.0
1853,USA,"LITUYA BAY, AK",2.0
1854,JAPAN,ENSHUNADA SEA,3.0
1854,JAPAN,NANKAIDO,4.0
1855,JAPAN,TOKAIDO,4.0
1856,INDONESIA,SANGIHE ISLAND,4.0
1856,HONDURAS,BAY OF HONDURAS,3.0
1856,ALGERIA,SEA OF ALBORAN,1.0
1856,JAPAN,SE. HOKKAIDO ISLAND,1.0
1856,GREECE,CRETE,3.0
1856,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",2.0
1857,PAPUA NEW GUINEA,BISMARCK SEA,2.0
1857,INDONESIA,BALI SEA,1.0
1858,CHILE,CENTRAL CHILE,1.0
1859,CHILE,NORTHERN CHILE,1.0
1859,INDONESIA,SOUTH OF JAVA,1.0
1861,INDONESIA,SW. SUMATRA,4.0
1861,INDONESIA,SW. SUMATRA,3.0
1862,GHANA,GOLD COAST,1.0
1863,PHILIPPINES,W. LUZON ISLAND,3.0
1863,VANUATU,VANUATU ISLANDS,3.0
1864,INDONESIA,NW. IRIAN JAYA,3.0
1865,PERU,CENTRAL PERU,1.0
1866,ALBANIA,ALBANIAN COASTS,2.0
1866,ALBANIA,ALBANIAN COASTS,1.0
1867,ITALY,LAKE MAGGIORE,1.0
1867,GREECE,"PELOPONNESUS, GREECE",2.0
1867,USA TERRITORY,VIRGIN ISLANDS,1.0
1867,TAIWAN,E. CHINA SEA,3.0
1868,USA,HAWAII,2.0
1868,CHILE,NORTHERN CHILE,4.0
1868,USA,N. CALIFORNIA,1.0
1870,MEXICO,"PUERTO ANGEL, MEXICO",1.0
1870,GREECE,IONIAN SEA,2.0
1871,INDONESIA,RUANG,3.0
1871,PHILIPPINES,SULU SEA,1.0
1872,JAPAN,SW. HONSHU ISLAND,3.0
1873,PAPUA NEW GUINEA,MACLAY COAST,2.0
1874,BANGLADESH,SUNDERBANS,4.0
1875,NEW CALEDONIA,"LIFOU ISLAND, LOYALTY ISLANDS",1.0
1877,CHILE,NORTHERN CHILE,4.0
1878,CHILE,NORTHERN CHILE,1.0
1878,PERU,CENTRAL PERU,1.0
1878,PAPUA NEW GUINEA,BISMARCK SEA,1.0
1878,TURKEY,GULF OF IZMIT,1.0
1878,USA,S. CALIFORNIA,1.0
1880,PHILIPPINES,E. LUZON ISLAND,1.0
1880,CHILE,CENTRAL CHILE,1.0
1882,PANAMA,SAN BLAS ARCHIPELAGO,3.0
1882,TAIWAN,SOUTH CHINA SEA,1.0
1883,INDONESIA,KRAKATAU,4.0
1883,USA,"COOK INLET, AK",1.0
1884,URUGUAY,MONTEVIDEO,2.0
1887,MEXICO,N. MEXICO,1.0
1888,PAPUA NEW GUINEA,RITTER ISLAND,3.0
1890,IRAN,CASPIAN SEA,3.0
1892,INDONESIA,"AWU VOLCANO, SANGIHE ISLAND",4.0
1892,JAPAN,SW. HONSHU ISLAND,1.0
1894,JAPAN,SE. HOKKAIDO ISLAND,1.0
1894,JAPAN,"YAMAGATA, JAPAN",3.0
1894,ITALY,CALABRIAN ARC,3.0
1894,USA,"PUYALLUP RIVER DELTA, TACOMA, WA",1.0
1895,PAPUA NEW GUINEA,SOLOMON SEA,2.0
1896,JAMAICA,KINGSTON,3.0
1896,JAPAN,SANRIKU,4.0
1897,INDIA,ASSAM,4.0
1897,PHILIPPINES,SULU SEA,1.0
1897,PHILIPPINES,SAMAR ISLAND,1.0
1898,CHILE,CENTRAL CHILE,1.0
1899,PAPUA NEW GUINEA,"EAST COAST, NEW IRELAND",3.0
1899,PORTUGAL,AZORES,1.0
1899,INDONESIA,BANDA SEA,4.0
1900,USA,"LITUYA BAY, AK",1.0
1900,INDONESIA,BISMARCK SEA,1.0
1901,BULGARIA,BLACK SEA,1.0
1901,NEW CALEDONIA,LOYALTY ISLANDS,1.0
1901,JAPAN,OFF NORTHEAST COAST HONSHU,1.0
1902,EL SALVADOR,EL SALVADOR-GUATEMALA,3.0
1902,GUATEMALA,OCOS,4.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,1.0
1902,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO,4.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,4.0
1902,PHILIPPINES,"ILLANA BAY, CELEBES SEA",3.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,3.0
1903,CHILE,NORTHERN CHILE,1.0
1905,NORWAY,LOEN,2.0
1905,INDIA,"KANGRA, INDIA",4.0
1905,JAPAN,JAPAN:  OFF FUKUSHIMA,2.0
1906,ECUADOR,OFF COAST,3.0
1906,CHILE,CENTRAL CHILE,4.0
1906,PAPUA NEW GUINEA,SOLOMON SEA,2.0
1907,INDONESIA,NW. SUMATRA,3.0
